S,S,S,S,G,G,R,R,D1,D1,R,R,D2,D2,R,R,D3,D3,R,R,W1,W1,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,G,G,O_3,O_3,O_3,O_3,O_3,O_3,O_3,O_3,G,G,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,G,G,G,G,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,G,G,O_3,O_3,O_3,O_3,O_3,O_3,O_3,O_3,G,G,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,G,G,G,G,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,G,G,O_3,O_3,O_3,O_3,O_3,O_3,O_3,O_3,G,G,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,G,G,G,G,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,G,G,O_3,O_3,O_3,O_3,O_3,O_3,O_3,O_3,G,G,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,O_4,G,G,G,G,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,G,G,S,S,S,S
S,S,S,S,G,G,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,G,G,S,S,S,S
